
"Banco de México"

"Agregados monetarios y activos financieros internos"
"Agregados monetarios (metodología 2018)"

"Fecha de consulta: 26/11/2025 10:31:06"

""

"Título","Agregados Monetarios, M1"
"Periodo disponible","Dic 2000 - Sep 2025"
"Periodicidad","Mensual"
"Cifra","Saldos"
"Unidad","Miles de Pesos"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF311408"
01/01/2010,1547730010.14
01/02/2010,1517869613.50
01/03/2010,1524673468.98
01/04/2010,1503990111.83
01/05/2010,1526831442.17
01/06/2010,1557126004.70
01/07/2010,1562707323.63
01/08/2010,1561715860.71
01/09/2010,1575903553.54
01/10/2010,1581896026.80
01/11/2010,1627355714.16
01/12/2010,1831591444.50
01/01/2011,1728772137.61
01/02/2011,1723622268.89
01/03/2011,1734597226.24
01/04/2011,1742346199.77
01/05/2011,1725414014.59
01/06/2011,1786661865.37
01/07/2011,1773596721.24
01/08/2011,1770802580.29
01/09/2011,1878140343.69
01/10/2011,1860381606.26
01/11/2011,1896333581.99
01/12/2011,2081526297.80
01/01/2012,1977024819.00
01/02/2012,1938067672.56
01/03/2012,2025670843.14
01/04/2012,1993418064.76
01/05/2012,2024555007.15
01/06/2012,2103633907.43
01/07/2012,2045683289.55
01/08/2012,2065560499.31
01/09/2012,2076104427.92
01/10/2012,2051920923.50
01/11/2012,2134858979.56
01/12/2012,2278174708.13
01/01/2013,2173269542.75
01/02/2013,2154134554.51
01/03/2013,2174771786.60
01/04/2013,2142217470.92
01/05/2013,2171176313.68
01/06/2013,2211663708.91
01/07/2013,2207369360.90
01/08/2013,2239638324.10
01/09/2013,2245970277.90
01/10/2013,2214060389.41
01/11/2013,2344972158.49
01/12/2013,2511368572.07
01/01/2014,2453893754.64
01/02/2014,2438087944.29
01/03/2014,2445032397.04
01/04/2014,2460979495.10
01/05/2014,2489140490.94
01/06/2014,2504596297.98
01/07/2014,2531496077.44
01/08/2014,2545089854.45
01/09/2014,2556416712.16
01/10/2014,2618525167.36
01/11/2014,2711723106.42
01/12/2014,2876506247.00
01/01/2015,2887393058.55
01/02/2015,2869132683.37
01/03/2015,2884130823.56
01/04/2015,2922876605.26
01/05/2015,2941241424.77
01/06/2015,2967522802.34
01/07/2015,3023155177.70
01/08/2015,3052866100.95
01/09/2015,3056561053.01
01/10/2015,3103509534.74
01/11/2015,3129911043.12
01/12/2015,3348743499.90
01/01/2016,3296228415.42
01/02/2016,3272357665.54
01/03/2016,3301177620.57
01/04/2016,3318515720.83
01/05/2016,3381895447.01
01/06/2016,3440349801.30
01/07/2016,3456182318.39
01/08/2016,3469969233.88
01/09/2016,3488334774.98
01/10/2016,3513857741.25
01/11/2016,3650474084.96
01/12/2016,3868310952.38
01/01/2017,3811392752.35
01/02/2017,3798023997.55
01/03/2017,3783838369.42
01/04/2017,3812359642.50
01/05/2017,3739860927.68
01/06/2017,3805689580.40
01/07/2017,3822383203.04
01/08/2017,3777435858.40
01/09/2017,3859419791.22
01/10/2017,3920568309.01
01/11/2017,3994732947.19
01/12/2017,4264017581.97
01/01/2018,4075871703.85
01/02/2018,4075774260.99
01/03/2018,4138523788.28
01/04/2018,4142745967.14
